# Logfile created on 2026-07-07 20:46:24 +0200 by logger.rb/v1.5.3
2026-07-07 20:46:24 +0200: Memory Usage (469076K) : topmetal2_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469204K) : topmetal2_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469204K) : topmetal2_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469332K) : topmetal2_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469332K) : topmetal2_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469332K) : topmetal2_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469460K) : topmetal2_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469460K) : topmetal2_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469588K) : snsring_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469588K) : sensor_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469716K) : snsarms_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469716K) : snscmosvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469716K) : colwind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469844K) : flm_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469844K) : hafniumox_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469972K) : memvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469972K) : thinfilmres_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470100K) : rfmem_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470100K) : norcx_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470100K) : norcx_m2m3 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470228K) : norcx_m2m4 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470228K) : norcx_m2m5 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470356K) : norcx_m2tm1 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470356K) : norcx_m2tm2 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m3m4 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m3m5 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m3tm1 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m3tm2 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m4m5 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470484K) : norcx_m4tm1 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470612K) : norcx_m4tm2 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470612K) : norcx_m5tm1 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470612K) : norcx_m5tm2 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470740K) : norcx_tm1tm2 has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470740K) : norcx_m1sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470740K) : norcx_m2sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470740K) : norcx_m3sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470868K) : norcx_m4sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470868K) : norcx_m5sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470868K) : norcx_tm1sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470996K) : norcx_tm2sub has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470996K) : snsbotvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (470996K) : snstopvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471124K) : deepvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471124K) : fgetch_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471124K) : ctrgat_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471124K) : fgimp_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471252K) : emwihv_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471252K) : lbe_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471252K) : alcustop_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471380K) : nometfiller_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471380K) : prboundary_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471380K) : exchange0_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471380K) : exchange0_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471508K) : exchange0_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471508K) : exchange1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471508K) : exchange1_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471636K) : exchange1_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471636K) : exchange2_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471764K) : exchange2_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471764K) : exchange2_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (471764K) : exchange3_drw has 0 polygons
