# Logfile created on 2026-04-08 19:06:46 +0200 by logger.rb/v1.5.3
2026-04-08 19:06:46 +0200: Memory Usage (447764K) : emwind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448020K) : emwind_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448020K) : deepco_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448276K) : deepco_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448276K) : mim_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448532K) : edgeseal_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448532K) : edgeseal_bound has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448532K) : substrate_drw has 1 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448788K) : substrate_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448788K) : dfpad_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (448788K) : dfpad_pillar has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449044K) : dfpad_sbump has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449300K) : thickgateox_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449300K) : pldb_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449556K) : pwell_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449556K) : pwell_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449556K) : pwell_block has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449812K) : ic_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (449812K) : via3_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450068K) : metal4_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450068K) : metal4_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450068K) : metal4_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450324K) : metal4_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450580K) : metal4_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450580K) : metal4_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450580K) : metal4_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450580K) : metal4_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450580K) : metal4_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450836K) : metal4_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450836K) : metal4_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (450836K) : metal4_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451092K) : heattrans_drw has 6 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451092K) : heatres_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451092K) : pempoly_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451348K) : fbe_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451348K) : empoly_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451348K) : ldmos_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451604K) : pbiwind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451604K) : digisub_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451604K) : nodrc_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451860K) : text_drw has 2 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451860K) : via4_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (451860K) : metal5_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452116K) : metal5_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452116K) : metal5_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452116K) : metal5_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452372K) : metal5_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452372K) : metal5_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452372K) : metal5_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452372K) : metal5_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452628K) : metal5_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452628K) : metal5_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452884K) : metal5_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452884K) : metal5_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (452884K) : radhard_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (453140K) : memcap_drw has 0 polygons
